,equity_net
2021-02-16,914052.4059568263
2021-02-17,910023.7693125311
2021-02-18,906921.5513624251
2021-02-19,901349.8274457569
2021-02-22,896359.1947635633
2021-02-23,893962.2000243501
2021-02-24,888551.5556811802
2021-02-25,883166.5158053859
2021-02-26,885457.2329944386
2021-03-01,888371.1366143983
2021-03-02,891544.3158673033
2021-03-03,893458.8837638511
2021-03-04,890447.2917810042
2021-03-05,879197.9991428946
2021-03-08,881587.4142537087
2021-03-09,884054.2468947554
2021-03-10,885836.3473656953
2021-03-11,888269.7890237255
2021-03-12,883076.5743562123
2021-03-15,883111.9491425082
2021-03-16,885045.0823791996
2021-03-17,876140.1010214861
2021-03-18,871703.6165314828
2021-03-19,868202.9007120004
2021-03-22,871570.8701755519
2021-03-23,873956.3579440463
2021-03-24,875536.3421403847
2021-03-25,872559.1691985981
2021-03-26,875075.2060275736
2021-03-29,866257.5490097493
2021-03-30,863557.5705292468
2021-03-31,860178.0577140664
2021-04-01,855833.8602636051
2021-04-02,857558.1150884946
2021-04-05,858628.6746985015
2021-04-06,860595.4698631709
2021-04-07,859098.8715526684
2021-04-08,853414.4627602235
2021-04-09,855133.313377245
2021-04-12,857059.2108806131
2021-04-13,857837.3682752253
2021-04-14,865974.2307808483
2021-04-15,866003.8091710246
2021-04-16,862681.6456937378
2021-04-19,861701.0068804671
2021-04-20,864466.5464990328
2021-04-21,859228.1626194891
2021-04-22,859416.885331735
2021-04-23,865614.2228831048
2021-04-26,865891.1224778979
2021-04-27,867015.2711462057
2021-04-28,862681.4244616305
2021-04-29,863141.5244064797
2021-04-30,864155.8656775007
2021-05-03,866707.3713851932
2021-05-04,863632.7658826851
2021-05-05,858890.0106923304
2021-05-06,857448.9155823321
2021-05-07,858063.0865824828
2021-05-10,857989.2450136188
2021-05-11,858608.7128129358
2021-05-12,863916.6973503864
2021-05-13,870109.2377199583
2021-05-14,866279.5124321156
2021-05-17,865050.9670670127
2021-05-18,864878.0086426648
2021-05-19,863617.4348865862
2021-05-20,857097.8389241903
2021-05-21,853351.7847661565
2021-05-24,854087.6495149751
2021-05-25,848458.2354701619
2021-05-26,847635.4983932116
2021-05-27,844918.1893011229
2021-05-28,845234.544385444
2021-05-31,849862.7320243752
2021-06-01,847148.0604978884
2021-06-02,845175.4332600835
2021-06-03,846759.8701318976
2021-06-04,845447.5334358828
2021-06-07,843215.3368867711
2021-06-08,840442.2328908514
2021-06-09,831956.9035003884
2021-06-10,835753.916444018
2021-06-11,837678.3977399087
2021-06-14,835663.3686779536
2021-06-15,824381.6401220815
2021-06-16,828091.2705447368
2021-06-17,835165.4164237955
2021-06-18,837164.9514046353
2021-06-21,834793.0425108783
2021-06-22,840857.4369502632
2021-06-23,846879.5741384344
2021-06-24,855410.1601235382
2021-06-25,850646.0600126184
2021-06-28,851095.6553650352
2021-06-29,860392.7768918306
2021-06-30,855753.0303954155
2021-07-01,859264.5569520805
2021-07-02,856289.5127035709
2021-07-05,864518.3265572315
2021-07-06,876053.8069287176
2021-07-07,875450.9125535537
2021-07-08,876992.3353609478
2021-07-09,871245.9102929406
2021-07-12,863589.1707538335
2021-07-13,859370.2971605164
